datetime,code,open,close,high,low,vol,amount,p_change
2015-05-08,600519,246.12,254.17,254.88,245.9,57805.0,1447670272.0,3.77
2015-05-11,600519,251.5,257.44,257.99,250.0,61345.0,1552417920.0,1.29
2015-05-12,600519,257.2,254.42,257.2,252.0,47031.0,1193035136.0,-1.17
2015-05-13,600519,253.8,256.4,262.97,252.5,58913.0,1520374528.0,0.78
2015-05-14,600519,256.25,251.41,259.5,251.22,41853.0,1062504704.0,-1.95
2015-05-15,600519,251.41,245.17,253.49,241.61,54185.0,1333031168.0,-2.48
2015-05-18,600519,245.0,241.14,245.0,240.1,35363.0,856505088.0,-1.64
2015-05-19,600519,241.05,250.04,250.22,240.2,47637.0,1174434432.0,3.69
2015-05-20,600519,252.0,253.95,260.0,249.3,63771.0,1631009408.0,1.56
2015-05-21,600519,256.0,258.59,261.3,254.01,47669.0,1230234880.0,1.83
2015-05-22,600519,259.68,275.86,276.8,259.59,66649.0,1779754368.0,6.68
2015-05-25,600519,270.0,286.83,288.49,269.0,67473.0,1868570240.0,3.98
2015-05-26,600519,286.6,285.54,290.0,283.96,60914.0,1746031104.0,-0.45
2015-05-27,600519,285.52,276.9,289.32,273.0,46934.0,1309260032.0,-3.03
2015-05-28,600519,275.25,261.11,281.0,260.1,60884.0,1650995584.0,-5.7
2015-05-29,600519,260.01,263.83,269.0,259.89,57783.0,1531805568.0,1.04
2015-06-01,600519,263.94,271.46,272.98,259.8,65816.0,1747123712.0,2.89
2015-06-02,600519,270.5,266.62,270.5,260.66,64635.0,1708951680.0,-1.78
2015-06-03,600519,265.18,262.79,266.62,260.01,46424.0,1218378752.0,-1.44
2015-06-04,600519,262.98,258.21,265.0,240.0,92362.0,2332785408.0,-1.74
2015-06-05,600519,258.11,253.84,262.1,246.0,85738.0,2188974592.0,-1.69
2015-06-08,600519,251.51,264.64,267.54,249.8,96007.0,2462736640.0,4.25
2015-06-09,600519,265.0,259.03,269.8,256.5,77851.0,2045525376.0,-2.12
2015-06-10,600519,255.64,261.05,266.88,253.8,80462.0,2096832896.0,0.78
2015-06-11,600519,260.0,260.06,264.5,257.77,52954.0,1378413696.0,-0.38
2015-06-12,600519,262.12,266.0,273.0,261.0,90909.0,2438986496.0,2.28
2015-06-15,600519,266.98,260.89,272.0,260.08,100014.0,2664672512.0,-1.92
2015-06-16,600519,259.0,253.95,265.8,252.5,69303.0,1789696000.0,-2.66
2015-06-17,600519,253.96,255.09,257.76,249.0,58388.0,1478407040.0,0.45
2015-06-18,600519,253.02,243.97,254.8,240.6,61506.0,1530836096.0,-4.36
2015-06-19,600519,245.87,235.31,248.49,234.02,67608.0,1646002816.0,-3.55
2015-06-23,600519,239.8,252.25,255.85,234.13,81247.0,1989068160.0,7.2
2015-06-24,600519,250.0,261.21,265.2,247.65,95706.0,2463553792.0,3.55
2015-06-25,600519,261.5,251.79,262.03,250.21,66521.0,1707385600.0,-3.61
2015-06-26,600519,250.02,242.45,255.75,235.3,99332.0,2451381504.0,-3.71
2015-06-29,600519,248.37,246.64,256.5,227.8,165071.0,4057069824.0,1.73
2015-06-30,600519,246.64,257.65,259.82,246.0,126298.0,3205285632.0,4.46
2015-07-01,600519,255.0,257.49,268.5,250.98,103326.0,2696026112.0,-0.06
2015-07-02,600519,255.3,260.3,282.6,245.01,118459.0,3011363584.0,1.09
2015-07-03,600519,255.0,249.81,260.5,242.2,109605.0,2772183040.0,-4.03
2015-07-06,600519,267.95,254.04,267.99,239.5,272799.0,7012491264.0,1.69
2015-07-07,600519,250.0,244.18,256.58,239.5,167562.0,4121731584.0,-3.88
2015-07-08,600519,229.0,236.86,244.99,219.76,289140.0,6738026496.0,-3.0
2015-07-09,600519,236.86,257.94,260.41,233.0,138203.0,3409950464.0,8.9
2015-07-10,600519,257.0,265.59,283.0,251.96,256149.0,6888908288.0,2.97
2015-07-13,600519,258.0,257.75,265.58,251.0,148926.0,3838169344.0,-2.95
